test,agent_id,lying_rate,mean_reward,std_reward,mean_lies,std_lies,mean_caught
AAA,0,0.0,5756.5,1140.1810163303019,0.0,0.0,0.0
AAA,1,0.0,5512.7,1255.8629344000879,0.0,0.0,0.0
AAA,2,0.0,5723.4,1262.0136449341583,0.0,0.0,0.0
BBB,0,0.0,5264.0,1305.4347934692105,0.0,0.0,0.0
BBB,1,0.0,5309.1,1268.9728878112408,0.0,0.0,0.0
BBB,2,0.0,5084.4,1312.1069468606588,0.0,0.0,0.0
CCC,0,0.0,-1085.3,2200.8441357806328,0.0,0.0,0.0
CCC,1,0.0,-1253.0,2236.697342064858,0.0,0.0,0.0
CCC,2,0.0,-846.0,2481.1106384036966,0.0,0.0,0.0
ABC,0,0.0,5861.3,1160.8528373570873,0.0,0.0,0.0
ABC,1,0.0,5082.2,1267.303894099596,0.0,0.0,0.0
ABC,2,0.0,-1145.3,1976.5340649733312,0.0,0.0,0.0
CCB,0,0.0,-1194.6,2191.918529507883,0.0,0.0,0.0
CCB,1,0.0,-808.1,2365.0901441594146,0.0,0.0,0.0
CCB,2,0.0,5237.1,1207.717098496167,0.0,0.0,0.0
AAC,0,0.0,6040.4,1201.0911039550663,0.0,0.0,0.0
AAC,1,0.0,5578.5,1209.013957735807,0.0,0.0,0.0
AAC,2,0.0,-1458.6,2028.8716174267902,0.0,0.0,0.0
